,MB_CODE_2016,SSC_CODE_2016,SSC_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
2179,10928710000,12115,Kiah,1,New South Wales,2.3702
2183,10928610000,13927,Towamba,1,New South Wales,9.5908
2201,10072450000,14370,Wonboyn North,1,New South Wales,71.5949
2211,10078861000,13187,Pericoe,1,New South Wales,37.6505
2213,11204595800,10703,Burragate,1,New South Wales,8.059
2228,10928360000,12367,Lochiel (NSW),1,New South Wales,7.1869
2235,10928660000,12932,Nethercote,1,New South Wales,1.5159
2240,10928730000,13033,Nullica,1,New South Wales,55.8055
2261,10074392000,13045,Nungatta South,1,New South Wales,4.5459
2262,10929090000,13044,Nungatta,1,New South Wales,2.5322
2264,11204961000,14459,Yambulla,1,New South Wales,421.7719
2267,10929110000,14346,Wog Wog (Bega Valley - NSW),1,New South Wales,17.0719
2274,10079740000,11027,Coolangubra,1,New South Wales,86.9094
2278,10075860000,10788,Candelo,1,New South Wales,32.2574
2289,10075130000,13753,Tantawangalo,1,New South Wales,53.5437
2291,10928750000,10284,Bemboka,1,New South Wales,3.8705
2292,10072930000,13285,Quaama,1,New South Wales,0.0337
2295,10077360000,10951,Cobargo,1,New South Wales,28.1152
2298,10079110000,11255,Dignams Creek,1,New South Wales,8.7755
2307,10077200000,14520,Yowrie,1,New South Wales,22.6426
2308,10078760000,14128,Wandella (NSW),1,New South Wales,17.2309
2312,10928790000,11758,Greendale (Bega Valley - NSW),1,New South Wales,0.9627
2313,10072472000,10056,Angledale,1,New South Wales,1.3723
2319,10075570000,14073,Verona,1,New South Wales,8.7047
2324,10072460000,12834,Mumbulla Mountain,1,New South Wales,29.535
2325,11204995900,14139,Wapengo,1,New South Wales,10.612
2326,10079320000,12921,Nelson (Bega Valley - NSW),1,New South Wales,11.2152
2329,10078940000,12849,Murrah,1,New South Wales,55.3353
2336,10074890000,13749,Tanja,1,New South Wales,9.7271
2339,10075790000,11023,Coolagolite,1,New South Wales,43.0974
2345,10079340000,10589,Brogo,1,New South Wales,19.8024
2363,11205812900,11048,Coopers Gully,1,New South Wales,3.2839
2365,10078780000,13668,Stony Creek (Bega Valley - NSW),1,New South Wales,13.5383
2378,10075060000,13038,Numbugga,1,New South Wales,23.1251
2381,10072520000,12721,Morans Crossing,1,New South Wales,31.9253
2383,10075400000,12659,Mogilla,1,New South Wales,16.3537
2387,11205329300,10629,Buckajo,1,New South Wales,23.2522
2390,10079480000,12054,Kameruka,1,New South Wales,23.5132
2411,10079050000,11775,Greigs Flat,1,New South Wales,3.2585
2418,10074710000,12940,New Buildings,1,New South Wales,22.3479
2419,10074690000,12753,Mount Darragh,1,New South Wales,11.3357
2427,10079862000,13386,Rocky Hall,1,New South Wales,10.9513
2436,11205596900,10608,Broulee,1,New South Wales,0.0431
2465,11204590800,13890,Tomakin,1,New South Wales,0.0371
2493,10252770000,12741,Mossy Point,1,New South Wales,0.0372
2525,10248720000,10282,Belowra,1,New South Wales,132.3197
2526,10254890000,10744,Cadgee (NSW),1,New South Wales,0.4437
2529,10248960000,11244,Deua,1,New South Wales,526.3409
2530,10232860000,14081,Wadbilliga,1,New South Wales,49.6059
2532,10256100000,10434,Bodalla,1,New South Wales,96.4768
2537,10931880000,11463,Eurobodalla,1,New South Wales,0.0977
2539,10250460000,14120,Wamban,1,New South Wales,93.4498
2541,10253310000,12931,Nerrigundah,1,New South Wales,9.1766
2542,10931910000,11245,Deua River Valley,1,New South Wales,98.7957
2549,11205324800,13877,Tinpot,1,New South Wales,72.8155
2552,10251110000,12900,Narooma,1,New South Wales,35.4647
2564,10249090000,12582,Merricumbene,1,New South Wales,11.386
2575,10079720000,14463,Yankees Creek,1,New South Wales,140.543
2581,10077890000,11375,Eden,1,New South Wales,0.0858
2611,10074313000,10542,Boydtown,1,New South Wales,2.9252
2664,10248610000,13580,South Durras,1,New South Wales,0.0009
2670,10708750000,10956,Cockwhy,1,New South Wales,41.6858
2679,10708640000,13262,Pretty Beach (Shoalhaven - NSW),1,New South Wales,0.0167
2681,10708610000,11242,Depot Beach,1,New South Wales,0.0578
2682,10708520000,11335,Durras North,1,New South Wales,0.1536
2685,10708040000,13173,Pebbly Beach,1,New South Wales,2.2604
2688,10706600000,11359,East Lynne,1,New South Wales,0.7546
2712,10248990000,12856,Murrengenburg,1,New South Wales,2.4309
2714,10251730000,10631,Buckenbowra,1,New South Wales,14.8637
2716,10253461000,11181,Currowan,1,New South Wales,6.1987
2717,10253160000,13442,Runnyford,1,New South Wales,18.5729
2742,10256202000,12660,Mogo (Eurobodalla - NSW),1,New South Wales,0.1872
2753,10249870000,12012,Jeremadra,1,New South Wales,11.3456
2754,10252780000,14387,Woodlands (Eurobodalla - NSW),1,New South Wales,7.3332
2755,10930620000,10361,Bimbimbie,1,New South Wales,2.8973
2764,10250010000,12166,Kiora,1,New South Wales,7.7215
2766,10252580000,12657,Mogendoura,1,New South Wales,9.2672
2775,10256450000,13975,Turlinjah,1,New South Wales,0.7269
2795,10254770000,13253,Potato Point,1,New South Wales,0.049
2800,10256140000,12119,Kianga (NSW),1,New South Wales,11.6326
2821,10249580000,13979,Tuross Head,1,New South Wales,3.208
2869,10079303000,13141,Pambula Beach,1,New South Wales,1.1689
